t,theta,theta_dot,xc,xc_dot,theta_hat,theta_dot_hat,xc_hat,xc_dot_hat,theta_meas,xc_meas,xc_ref,tracking_error,u_cmd_unsat,u_cmd_sat,u_actual,disturbance,theta_est_error_deg,xc_est_error
0,0.0872664625997165,0,0,0,0,0,0,0,0.085968435069334,-0.000227629348853006,0,0.000227629348853006,0,0,0,0,5,0
0.005,0.0872704509238714,0.00159528684762097,-5.29679321383352e-06,-0.00211851292721814,0.00199185783516205,0.00468758858067236,-0.000406115911859013,-0.00265657379989703,0.0896327830078024,-0.00463516415331385,0,0.00463516415331385,3.0032325947483,3.0032325947483,0,0,4.88610346679656,0.00040081911864518
0.01,0.0872824151595907,0.00319038852965943,-2.11832412007951e-05,-0.00423589299911202,0.00405759085596227,0.00952071752749216,-0.00090284472679856,-0.00553844973410447,0.0857655085650234,-0.00342296709980983,0,0.00342296709980983,6.09307965679614,6.09307965679614,0.375404074343538,0,4.76843118331571,0.000881661485597765
0.015,0.0873017727326715,0.00455266829906057,-4.53172330234493e-05,-0.00541765678415429,0.00600507330408527,0.0138261516104055,-0.00135654354320728,-0.00729620963876346,0.0850825466556685,0.00305528666354894,0,-0.00305528666354894,8.97369614630659,8.97369614630659,1.09011352215011,0,4.6579577656016,0.00131122631018383
0.02,0.0873268341769292,0.00547200060781114,-7.09103726712495e-05,-0.00481976039655465,0.0078928894579092,0.017546504433802,-0.00168631536644428,-0.00701736912924343,0.0856357316969136,-0.00204945993240672,0,0.00204945993240672,11.7302736953675,11.7302736953675,2.07556135016967,0,4.55122978247534,0.00161540499377303
0.025,0.087354965946259,0.00578087173758453,-8.73820957162096e-05,-0.00176935879635727,0.00978235567034384,0.020634081589361,-0.00209139259900607,-0.00442914229795191,0.0862096362133432,-0.00380154660638699,0,0.00380154660638699,14.3925508248975,14.3925508248975,3.28240039331939,0,4.4445831746231,0.00200401050328986
0.03,0.0873827735684525,0.0053424192555192,-8.10956958018679e-05,0.00428317614886597,0.0116607271942462,0.022936365254922,-0.00250077251747421,0.00112836991339065,0.0862654120395046,0.00224362410287357,0,-0.00224362410287357,16.9413803734187,16.9413803734187,4.53240039331939,0,4.33855367333592,0.00241967682167235
0.035,0.0874064546255149,0.00413031408197427,-3.67764576994754e-05,0.0134434688534112,0.0134895237910828,0.0243639004963592,-0.00276172085770793,0.0100225966119878,0.0877632150772144,-0.00775078417992526,0,0.00775078417992526,19.349710664633,19.349710664633,5.78240039331939,0,4.23512817137337,0.00272494440000845
0.04,0.0874221418257285,0.00214493241041611,6.11098639725987e-05,0.0257097195011083,0.0153462499388826,0.0250689567177225,-0.00314572339370979,0.0217032603768187,0.0870284189327766,0.00116731213336547,0,-0.00116731213336547,21.6761051425787,20,7.03240039331939,0,4.12964440975748,0.00320683325768239
0.045,0.087425969566202,-0.000613426803600034,0.000228088789254267,0.041080238792564,0.0171192796698796,0.0248443071851568,-0.0032976185975185,0.0368337902995713,0.0885988548095362,0.00149737161362396,0,-0.00149737161362396,23.8296696407947,20,8.2824003933194,0,4.02827660259434,0.00352570738677276
0.05,0.0874140735396503,-0.00414454465466075,0.000479677683344805,0.0595534551096318,0.0188850845741066,0.0238578030462973,-0.00336454168661486,0.0550671753154915,0.0857102996004054,0.00243684435694813,0,-0.00243684435694813,25.8960393917808,20,9.5324003933194,0,3.92642184202425,0.00384421936995966
0.055,0.0873825903271217,-0.00844828509479279,0.000831386362872616,0.081127921655248,0.0205352106725671,0.0218642948332164,-0.00330104320913605,0.0765571689790678,0.0889832317467254,-0.000662303883148326,0,0.000662303883148326,27.7176080661081,20,10.7824003933194,0,3.83007272571467,0.00413242957200866
0.06,0.0873276569767191,-0.0135245977275094,0.00129871773775317,0.105802323544472,0.0222222033258595,0.0192223654659525,-0.00319262259814769,0.100982957486927,0.0843088475272503,0.00152447542527563,0,-0.00152447542527563,29.5130588494149,20,11.9346003441545,0,3.73026771747885,0.00449134033590085
0.065,0.0872455621926482,-0.0193128764551768,0.00189655967594712,0.133331983841061,0.0237425681320143,0.0155352917852581,-0.00289621256451532,0.128508869510143,0.0889973104883172,-0.00132116679979885,0,0.00132116679979885,31.0063442821827,20,12.9427753011352,0,3.63845354611865,0.00479277224046244
0.07,0.0871329690757332,-0.0257239704152049,0.00263828960691595,0.163357414114051,0.0253270633537236,0.0114327035682899,-0.0025315719770375,0.158322211617409,0.0866473900030666,0.000145557130129429,0,-0.000145557130129429,32.5406571736586,20,13.8249283884933,0,3.54121754685462,0.00516986158395345
0.075,0.0869869582513065,-0.0326800180581735,0.00353560042916412,0.195564283586943,0.0267966948622161,0.00658850707731842,-0.00198031582390297,0.190457787324173,0.0873205851302135,0.00169032634519063,0,-0.00169032634519063,33.8742172789955,20,14.5968123399316,0,3.44864805997568,0.00551591625306709
0.08,0.0868049749510726,-0.0401130360438176,0.00459871218578329,0.229677774739488,0.0282207536132428,0.00124105915556519,-0.00124739836672877,0.224542637962188,0.0828741375325071,0.00466127851077091,0,-0.00466127851077091,35.1223938143594,20,15.2722107974402,0,3.35662862871791,0.00584611055251206
0.085,0.0865847827102325,-0.0479636842222723,0.00583655727989726,0.265457643618018,0.029475559563821,-0.00483231256996723,-0.000277718847405889,0.260531908493088,0.0840446399249554,0.00762881486376646,0,-0.00762881486376646,36.1129148646298,20,15.8631844477601,0,3.27211745756021,0.00611427612730315
0.09,0.0863244228542267,-0.0561801847847907,0.00725694253393628,0.302693897005134,0.0306922047684857,-0.0112654509253732,0.000907004894672807,0.298032858009584,0.0886747653851527,0.0087455791688005,0,-0.0087455791688005,37.0514566973226,20,16.3802863917901,0,3.18749130126433,0.00634993763926347
0.095,0.086022179052258,-0.0647173763808422,0.00886669098470493,0.341203009514986,0.0319559456670824,-0.0178130342136654,0.00226208458139733,0.336689432115851,0.0900804994217575,0.00312744583012175,0,-0.00312744583012175,38.065941122671,20,16.8327505928164,0,3.09776698713987,0.0066046064033076
0.1,0.0856765463048192,-0.0735358863790173,0.0106717659454537,0.380824613248038,0.0332106254912041,-0.0245814885441284,0.00368865565728309,0.376224068167225,0.0851262318234678,0.00864082312041491,0,-0.00864082312041491,39.0513086833853,20,17.2286567687143,0,3.00607583088773,0.00698311028817057
0.105,0.0852862038113452,-0.0826014065372897,0.0126773795502912,0.421418601023515,0.0342757031777382,-0.0319309539770718,0.00541293478630234,0.41703670740836,0.0864935207029968,0.0126528856991952,0,-0.0126528856991952,39.7825570408438,20,17.575074672625,0,2.92268639715509,0.00726444476398887
0.11,0.0848499912332042,-0.0918840591791735,0.0148880877197287,0.462862591553376,0.0353043443896088,-0.0394710411722239,0.0073796029888597,0.458751426477848,0.0884124950196892,0.00940848995751595,0,-0.00940848995751595,40.4892508359793,20,17.8781903385469,0,2.83875645738368,0.00750848473086901
0.115,0.0843668879277484,-0.101357842577315,0.0173078732440505,0.505049711356139,0.0363311428795222,-0.0471100036351427,0.00946016172489709,0.501008561695459,0.0879142045804007,0.0193213901316316,0,-0.0193213901316316,41.199146865519,20,18.1434165462285,0,2.75224545702981,0.00784771151915336
0.12,0.0838359947821197,-0.111000145652617,0.0199402184692865,0.547886653844417,0.0372615227021749,-0.0550137765470287,0.0118951911373097,0.544195197494799,0.0801057496330585,0.0213133583694147,0,-0.0213133583694147,41.8224726042344,20,18.37548947795,0,2.66852068323073,0.00804502733197676
0.125,0.0832565183218858,-0.120791323329321,0.022788168885069,0.591291980955008,0.0379512710478596,-0.0635199308459207,0.0145793380241917,0.588194707890179,0.0811543042034046,0.019361606305898,0,-0.019361606305898,42.1135876462921,20,18.5785532932062,0,2.59579945859828,0.00820883086087728
0.13,0.0826277568101788,-0.130714324966002,0.0258543887513016,0.635194637011534,0.0386203535183826,-0.0721001848079217,0.0174012767178052,0.632529150195752,0.0817929927141852,0.0322373096381666,0,-0.0322373096381666,42.3918824830276,20,18.7562341315554,0,2.52143847595005,0.00845311203349633
0.135,0.0819490880885488,-0.140754369227856,0.0291412097584793,0.679532648292821,0.0392164359282378,-0.0808254847930253,0.0206196673381505,0.677606299648677,0.0847534126612245,0.0293799503428994,0,-0.0293799503428994,42.6363476979071,20,18.911704865111,0,2.44840061618642,0.00852154242032883
0.14,0.0812199589418436,-0.150898659593609,0.0326506735921433,0.724251985092114,0.0398414184310025,-0.0894811360179368,0.0239468453158873,0.722794920619086,0.0784844649598914,0.0422811120835325,0,-0.0422811120835325,42.9414819356456,20,19.0477417569721,0,2.3708157336823,0.00870382827625598
0.145,0.0804398757966494,-0.161136135415262,0.0363845691631269,0.769305565951429,0.0402354541110515,-0.0986286525647099,0.027698519893934,0.768819764286744,0.0798548057983457,0.0382683630299153,0,-0.0382683630299153,42.9761219869473,20,19.1667740373506,0,2.303543680349,0.00868604926919293
0.15,0.0796083965866487,-0.171457254083553,0.0403444651700198,0.81465238629297,0.0406290666129989,-0.107755630909294,0.0315408806674104,0.814859977099239,0.0821500934550266,0.0330057964184799,0,-0.0330057964184799,43.0243830920012,20,19.2709272826818,0,2.23335109573792,0.00880358450260938
